id_venta,fecha,producto_id,producto,cantidad,precio_unitario,descuento,total
1,2026-08-18 01:02:00,1,Laptop,2,850.0,0.0,1700.0
2,2026-08-18 01:02:00,2,Mouse,5,15.5,0.0,77.5
3,2026-08-18 01:02:00,3,Teclado,12,25.0,15.0,285.0
4,2026-08-18 01:02:00,4,Monitor,1,199.99,0.0,199.99
5,2026-08-18 01:02:00,5,Silla Gamer,1,120.0,0.0,120.0
6,2026-08-18 01:02:00,6,Audifonos,3,45.0,0.0,135.0
7,2026-08-18 01:02:00,2,Mouse,15,15.5,11.62,220.88
8,2026-08-18 01:02:00,1,Laptop,1,850.0,0.0,850.0
9,2026-08-18 01:02:00,4,Monitor,2,199.99,0.0,399.98
10,2026-08-18 01:02:00,3,Teclado,4,25.0,0.0,100.0
11,2026-08-18 01:02:00,6,Audifonos,10,45.0,22.5,427.5
12,2026-08-18 01:02:00,5,Silla Gamer,2,120.0,0.0,240.0
